githubFile,Reviewers,DateReviewed,Status,HITLnotes
ATAPL-66645-00006__20150428.csv,"KB,WR",5/1/19,Clear,
ATAPL-66645-00006__20170720.csv,"KB,WR",5/1/19,Clear,
ATAPL-66645-00006__20180731.csv,"KB,WR",5/1/19,Clear,
ATAPL-66645-00007__20150428.csv,"KB,WR",5/1/19,Clear,
ATAPL-66645-00007__20170721.csv,"KB,WR",5/1/19,Clear,
ATAPL-66645-00007__20180829.csv,"KB,WR",5/1/19,Clear,
ATAPL-66662-00002__20160303.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-66662-00008__20150412.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-66662-00009__20150419.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-66662-00010__20150503.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-66662-00011__20150503.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-67627-00004__20150419.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-67627-00005__20150510.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATAPL-67627-00005__20170307.csv,"MV,WR",12/19/19,Clear,erroneous XMLCON file was sent by vendor; cals entered from PDF; vendor cannot locate correct XMLCON
ATAPL-68020-00001__20170202.csv,,,NotClear,should be 20170201??? sn234
ATAPL-68020-00002__20140927.csv,,,NotClear,different from 20131125...ship board cal? sn 379
ATAPL-68020-00003__20140929.csv,,,NotClear,different from 20131125...ship board cal? sn 380
ATAPL-68020-00004__20171211.csv,,,NotClear,different from 20141023... sn 429
ATAPL-68020-00006__20150707.csv,,,NotClear,should be 20170706??? sn 617
ATAPL-68020-00007__20150709.csv,,,NotClear,different from 20150709 sn 618
ATAPL-70110-00001__20130422.csv,,,Clear,uses 2014 scatter dark counts
ATAPL-70110-00002__20131205.csv,,,Clear,uses 2015 volume scatter calibration
ATAPL-70110-00003__20140129.csv,,,Clear,uses 2015 volume scatter calibration
ATAPL-78452-00001__20211022.csv,"MV,WR",7/15/22,Clear,
ATAPL-78452-00005__20211022.csv,"MV,WR",7/15/22,Clear,
ATAPL-78452-00006__20211025.csv,"MV,WR",7/15/22,Clear,
ATAPL-78452-00007__20211025.csv,"MV,WR",7/15/22,Clear,
ATOSU-58320-00007__20130629.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00007__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATOSU-58320-00007__20171023.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00007__20191009.csv,"WR,KG",4/9/20,Clear,
ATOSU-58320-00007__20211026.csv,"MV,WR",7/15/22,Clear,
ATOSU-58320-00008__20130117.csv,"KB,WR",5/2/19,Clear,
ATOSU-58320-00008__20160302.csv,"WR,RS",4/17/20,Clear,coefficients re-calculated by MIOs after erroneous vendor cals
ATOSU-58320-00008__20171023.csv,"KB,WR",5/2/19,Clear,
