referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,notes
CE04OSBP-LJ01C-06-DOSTAD108,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/LJ01C/LJ01C_2025/DOSTAD108_2025/DOSTAD108_20250825_133918_predeploy.JPG,381,,asset id obscured
CE04OSPS-PC01B-4A-DOSTAD109,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/DOSTAD109_2025/DOSTAD109_20250804_152349_predeploy.JPG,316,ATOSU-58320-00017,
RS01SBPS-PC01A-4A-DOSTAD103,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/PC01A/PC01A_2025/DOSTAD103_2025/DOSTAD103_20250805_085525_predeploy.JPG,472,ATAPL-58320-00011,repeat sn
RS03AXPS-PC03A-4A-DOSTAD303,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/DOSTAD303_2025/DOSTAD303_20250805_193714_predeploy.JPG,473,ATAPL-58320-00011,repeat sn
CE04OSPS-PC01B-4D-PCO2WA105,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/PCO2WA105_2025/PCO2WA105_20250804_154611_predeploy.JPG,C0123,ATAPL-58336-00009,
CE04OSPS-SF01B-4F-PCO2WA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PCO2WA102_2025/PCO2WA102_20250804_165243_predeploy.JPG,C0078,ATOSU-58336-00005,
RS01SBPS-SF01A-4F-PCO2WA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PCO2WA101_2025/,C0076,ATAPL-58336-00003,
RS03AXPS-SF03A-4F-PCO2WA301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/PCO2WA301_2025/PCO2WA301_20250805_200422_predeploy.JPG,C0075,ATAPL-58336-00002,
CE02SHBP-LJ01D-09-PCO2WB103,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1D/LJ01D/LJ01D_2025/PCO2WB103_2025/,C0118,ATOSU-70570-00004,
CE04OSBP-LJ01C-09-PCO2WB104,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/LJ01C/LJ01C_2025/PCO2WB104_2025/,C0090,ATOSU-70570-00003,
CE04OSPS-PC01B-4B-PHSENA106,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/PHSENA106_2025/PHSENA106_20250804_154852_predeploy.JPG,P0162,ATAPL-58337-00010,
CE04OSPS-SF01B-2B-PHSENA108,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/SF01B/SF01B_2025/PHSENA108_2025/PHSENA108_20250804_164655_predeploy.JPG,P0153,ATOSU-58337-00011,
RS01SBPS-PC01A-4B-PHSENA102,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/PC01A/PC01A_2025/PHSENA102_2025/PHSENA102_20250805_085330_predeploy.JPG,P0111,ATAPL-58337-00002,
RS01SBPS-SF01A-2D-PHSENA101,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1A/SF01A/SF01A_2025_2ond_deploy/PHSENA101_2025/PHSENA101_20250813_160956_predeploy.JPG,P0113,ATAPL-58337-00005,
RS03AXPS-PC03A-4B-PHSENA302,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/PC03A/PC03A_2025/PHSENA302_2025/PHSENA302_20250805_193437_predeploy.JPG,P0059,ATAPL-58337-00001,
RS03AXPS-SF03A-2D-PHSENA301,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN3A/SF03A/SF03A_2025/PHSENA301_2025/PHSENA301_20250805_201023_predeploy.JPG,P0161,ATAPL-58337-00009,
CE04OSBP-LJ01C-10-PHSEND107,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/LJ01C/LJ01C_2025/PHSEND107_2025/PHSEND107_20250825_134904_predeploy.JPG,P0132,ATOSU-70571-00003,
CE02SHBP-LJ01D-10-PHSENH110,2025,,,,no folder in cruise photos
CE04OSPS-PC01B-4C-PHSENH109,2025,Data0/Archive/Cruise_data/RCA/Visions_25/cruiseshare/Mitch/equipment_photos/PN1C/PC01B/PC01B_2025/new_PH_CTD/20250804_154930.JPG,721-2106,ATAPL-91990-00001,
